X,Y,Numero_Zon,Municipio,NomeMunici,Area_ha,Nome,Domic,Familia,Pop,Matriculas,Empregos,Automoveis,Viagens_Pr,Viagens_At,pop_density,job_density,job_perctg,distances
328708.944344573,7389027.0222971,69,36,São Paulo,103.53,Hélio Pelegrino,3298.99996,3339.2766,8976.00286027,12164.2365149,21226.4833084,3111.10167671,51511.3439941,51220.7325859,86.6995350166135,205.027367027915,0.234139660652842,5413.198263513
328097.268966515,7388041.52920504,70,36,São Paulo,236.07,Brooklin,6890.99993,6950.17965,20186.0047752,3516.88937976,22822.6076615,8822.0265004,61252.6872681,60782.8301005,85.5085558317448,96.6772892002372,0.251745780751251,6552.68360599988
327370.724426475,7386877.99286546,71,36,São Paulo,177.32,Vila Cordeiro,2244.99984,2244.99984,6434.9995983,7373.02293905,30703.1260688,2615.06207262,62544.426976,62810.7446779,36.2903203152493,173.150947827656,0.338672186734079,7907.43329777669
327363.618302433,7388909.92190159,72,36,São Paulo,200.66,Berrini,1982.00001,2009.37614,5489.00024155,570.76338154,67333.6705407,1826.72385662,102780.511272,105448.501079,27.3547305967806,335.561001398884,0.742727023683233,6106.7856347171
331198.155711208,7392797.49305734,73,36,São Paulo,48.93,Campinas,4128.00002,4128.00002,9903.00286694,6261.87551989,31845.6749626,4585.46873271,60957.3774419,61064.5257177,202.391229653382,650.841507512773,0.351275122716779,1464.51258934324
330845.094384587,7392396.13854135,74,36,São Paulo,51.31,Pamplona,4364.00016,4364.00016,11154.9994413,1477.17708934,19143.8472387,5183.41322727,40359.901088,39331.4569443,217.404003923212,373.101680738647,0.211167051599417,1742.34072607489
329791.263911059,7392065.02404818,75,36,São Paulo,237.55,Jardins,3025.99991,3044.48756,8815.99886139,2528.11032193,27981.1517898,3698.92584715,49890.4898539,50354.442708,37.1121821148811,117.790577940644,0.308647329355155,2188.32085241682
329037.788117939,7393785.33813216,76,36,São Paulo,130.85,Clínicas,6552.00002,6552.00002,15691.9981104,10546.298835,50895.5703602,6099.99997448,126133.050217,125291.037889,119.923562173481,388.961179672908,0.561405834387756,1555.40189448198
329916.047457227,7393057.73798688,77,36,São Paulo,99.12,Oscar Freire,6756.00006,6756.00006,17450.9989577,390.77803539,23960.6168829,6923.10346035,53683.1835738,53015.2735488,176.059311518362,241.733422950969,0.264298641677251,1236.55895282214
330424.914489977,7393473.51499874,78,36,São Paulo,59.37,Trianon,3454.9998,3454.9998,8488.99706972,6484.22300759,35773.4286267,3838.72801288,66423.0147579,67409.8585391,142.984623037224,602.550591657403,0.394600382802438,654.789239486458
328010.75289711,7393089.52666623,79,36,São Paulo,98.52,Jardim Paulistano,6216.00016,6216.00016,14998.0035268,3895.47840245,23798.4898187,5760.68086988,64556.7713446,64424.3193687,152.233084924888,241.559985979497,0.262510291942493,2745.7214370914
328124.255868212,7391758.37905307,80,36,São Paulo,308.09,Jardim Europa,3576.00045,3606.91419,10733.0002494,2544.44433411,43595.955145,4506.68756451,81639.3589771,82372.1255917,34.8372236989191,141.503960352494,0.48088710669503,3387.4450924455
326867.843126102,7392672.46806376,81,36,São Paulo,203.02,Pinheiros,3269.99998,3269.99998,8417.99667812,6749.9887204,60359.3359017,2861.18329826,121460.879345,120792.929937,41.4638788204118,297.307338694217,0.665796317737769,3961.89672163713
327644.243315029,7394130.65914905,82,36,São Paulo,219.7,Vila Madalena,7369.00004,7448.18796,20072.9924818,5229.12515886,18669.8324849,8202.49286261,64110.4389926,65244.6046166,91.3654641866181,84.9787550518889,0.205938410943937,2913.72945671995
329397.565930026,7396134.99337682,83,36,São Paulo,73.23,PUC,5504.00015,5504.00015,15461.9945739,16891.1557159,9961.40515979,7031.38546234,57516.1750071,57803.2488876,211.142900094224,136.029020343985,0.109879719115588,2329.85469185589
329804.789909446,7395622.63898877,84,36,São Paulo,63.34,Cardoso de Almeida,1645.99987,1667.89462,5044.00226817,2920.65607013,7216.97934117,2532.80663112,22689.6624511,23534.1030662,79.6337585754657,113.940311669877,0.0796072090383156,1685.59904875056
329100.39500317,7395088.17180562,85,36,São Paulo,49.54,Zéquinha de Abreu,1235.99984,1331.32136,3533.00117224,2454.10507697,4889.26156159,1683.55814178,23585.7310433,23485.6263994,71.3161318578926,98.6932087523214,0.0539312153709722,1752.75393585593
328112.679122308,7395218.07257559,86,36,São Paulo,138.91,Sumaré,5988.00002,5988.00002,16812.9933447,2764.8535317,12397.6110127,7872.74061358,39042.3468994,39554.4592483,121.03515473832,89.249233407962,0.136752395262328,2682.68220921402
328424.568327844,7396225.30612759,87,36,São Paulo,168.44,Perdizes,13282.00007,13282.00007,37368.0026538,3137.98028833,21486.6562883,16364.3248447,95201.4372362,94867.6019555,221.847557906673,127.562670911304,0.237009510186548,3001.01473488228
327137.451862469,7395815.69553116,88,36,São Paulo,79.5,Vila Anglo Brasileira,4138.00004,4264.82844,12266.9941742,1085.88437983,3556.43010778,3155.70850009,20410.2891185,20808.3203512,154.30181351195,44.7349699091824,0.0392293592147519,3820.10640374259
327760.384073082,7396803.42466842,89,36,São Paulo,60.25,Pompéia,3536.00005,3584.95781,9293.00410736,4984.6964291,12466.2570193,3726.97539387,37093.0198566,36930.2787066,154.240732072365,206.908830195851,0.137509598066814,3880.1748816978
328484.3371593,7398223.4730076,90,36,São Paulo,291.45,Santa Marina,551.99995,551.99995,2228.00072224,2999.79249025,27558.2032889,464.196977258,41520.8585295,42024.211207,7.64453841907703,94.5555096548293,0.303981977255348,4602.41193852777
330248.088663197,7397874.46934162,91,36,São Paulo,116.59,Barra Funda,222.00011,222.00011,676.000207525,685.252628375,21138.2237816,162.454299676,37378.5676231,38281.3217094,5.7980976715413,181.303917845441,0.233166110048435,3772.56283719588
329900.955893489,7396858.54985373,92,36,São Paulo,105.54,Francisco Matarazzo,2615.00019,2615.00019,6317.99876681,51069.494285,25058.6766859,2205.74796969,93201.6507958,94600.5347266,59.8635471556756,237.432979779231,0.276410838781008,2821.45193592143
328728.291738742,7397210.5819722,93,36,São Paulo,72.6,Água Branca,639.99985,639.99985,1643.99928775,2653.28785552,15144.7252349,647.98532392,32324.377235,32820.9285031,22.6446182885675,208.605030783747,0.167054559893902,3596.15859570475
326446.161531339,7394863.96632613,94,36,São Paulo,183.33,Vila Beatriz,5956.00003,6058.22389,17971.9994588,3738.55527367,10756.3347195,8019.73165487,43344.2720078,44114.1750593,98.0308703365516,58.671983415153,0.118648224696526,4179.48592896575
325578.030573452,7394268.39587266,95,36,São Paulo,254.21,Alto de Pinheiros,2154.99949,2165.20494,7513.00040929,2581.07312312,13308.9489995,3346.25640459,36017.8636756,36197.0989789,29.5543071055033,52.3541520770229,0.146804949134261,4982.27093283328
324351.231007635,7395247.71871742,96,36,São Paulo,316.08,Boaçava,5001.00003,5001.00003,15474.9980649,898.755226529,15177.4386879,6551.86002134,39990.8242067,40409.7380642,48.9591181501519,48.0177128824981,0.167415407080547,6309.27401357074
324729.411054112,7398440.94225274,97,36,São Paulo,166.14,Vila Anastácio,856.99997,856.99997,2615.99991697,607.691540529,15293.0051757,571.36711632,25522.6530393,25147.2578927,15.7457560910678,92.048905595883,0.168690168323057,7258.67824924704
326421.855852886,7398557.96512672,98,36,São Paulo,239.85,Lapa de Baixo,2561.99993,2561.99993,7709.00302977,3979.4131786,33462.3503589,2370.4152803,61945.7244161,63047.1290009,32.1409340411507,139.513655863665,0.369107932003925,6070.43116430886
326496.70564997,7397493.05734624,99,36,São Paulo,226,Lapa,5056.99998,5056.99998,14318.0030251,10470.431642,46585.3584099,3903.29257011,138027.848617,138889.657462,63.3539956862832,206.129904468584,0.51386185130198,5282.72267496159
326466.779445404,7396392.19395871,100,36,São Paulo,169.07,Vila Ipojuca,5884.99989,5884.99989,16979.9962506,5468.10996444,10337.8310872,6377.06516546,43652.8689392,43054.8840148,100.431751644881,61.1452717052109,0.114031901915921,4682.38211141869
325136.032099972,7396704.35719611,101,36,São Paulo,160.06,Alto da Lapa,3268.99974,3303.14693,9751.0006406,3938.18169662,9338.84963429,3444.31249737,37839.163434,36719.5804548,60.9209086630014,58.3459304903786,0.103012592924202,6008.62204671507
324686.222387137,7397635.79135137,102,36,São Paulo,68.46,Gavião Peixoto,833.00019,840.24294,2624.99957764,798.263237634,4489.23926313,1171.15709514,9322.72866481,9564.04485906,38.3435521127666,65.5746313632778,0.0495187517586917,6846.55835785406
323770.035188557,7397465.70720321,103,36,São Paulo,79.48,Bela Aliança,1235.99987,1235.99987,3966.00037094,1722.85204664,3084.03812917,1675.56633818,10629.3061465,10090.7116667,49.8993504144439,38.8026941264469,0.0340186186526024,7570.0114488749
323753.9711135,7396379.75051219,104,36,São Paulo,151.99,Vila Hamburguesa,3278.99999,3414.85458,10170.998851,2483.31229725,16454.0047769,3730.64689271,36287.2904985,35710.7927554,66.9188686821501,108.257153608132,0.181496625647784,7171.08870965222
322503.978936711,7396077.69568857,105,36,São Paulo,193.42,CEASA,2049.99967,2068.14126,4557.99734946,92.1328236612,17813.7287626,460.629397863,28591.7514253,28930.1337841,23.565284611002,92.0986907382897,0.196495121063524,8289.73162979508
323020.597933471,7397076.63077892,106,36,São Paulo,93.24,Vila Leopoldina,1781.00006,1781.00006,5364.00023877,6237.55467311,19093.5865152,1753.09440969,37647.4486365,37538.0788096,57.5289600897683,204.77892015444,0.21061264847133,8098.43671629958
